time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
3.0,0.006,0.8,0.8010584564944401,-19.975673343168808,-19.97455079735252,0.0,0.0,3.029678728711896,1.7909519614447834e-05,9.495217830970034e-10,1.3782801613804093e-05,4.125768478860654e-06,131.1582421775066,0.0,3.6802612495399565,127.47798175549963,-8.275329861362479e-07
3.2,0.006,0.8,0.8011170101863111,-19.974206805547624,-19.973289250905623,0.0,0.0,3.031530980457887,1.9028864590350822e-05,9.500458663618114e-10,1.4642987324642636e-05,4.384927219841837e-06,139.30512772333444,0.0,4.0969186826993,135.20820993624355,-8.956084229794214e-07
3.4,0.006,0.8,0.8011754962094642,-19.972820922226305,-19.97203116924709,0.0,0.0,3.033382927283123,2.014820956625381e-05,9.50543676320485e-10,1.5503031430282277e-05,4.644227592295221e-06,147.45129570753716,0.0,4.5340895371962695,142.91720710774015,-9.37399278200246e-07
3.6,0.006,0.8,0.8012339147206952,-19.97143886873448,-19.970776375447343,0.0,0.0,3.0352345536045617,2.1267554542156798e-05,9.51093805012294e-10,1.636292669395867e-05,4.903676754393127e-06,155.59677770478294,0.0,4.990721129068243,150.60605757887797,-1.0031632768914278e-06
3.8,0.007,0.8,0.7927202222168835,-19.970022418720248,-19.969404901065275,0.0,0.0,3.0372401414020382,2.2480178266051706e-05,1.0899101517984375e-09,1.7294321667106766e-05,5.18476668879316e-06,164.47848600209335,0.0,5.468657333979104,159.00982971183373,-1.0437194930545957e-06
4.0,0.006,0.8,0.8013603494223183,-19.968648126966286,-19.968037128822488,0.0,0.0,3.039245353168436,2.3692801989946613e-05,9.685804076907635e-10,1.822554201142198e-05,5.466291398116964e-06,173.3593998034563,0.0,5.968424573271183,167.3909763332527,-1.103067575058958e-06
4.2,0.006,0.8,0.8014185548149384,-19.967353781243105,-19.966793043598358,0.0,0.0,3.0410959896657572,2.48121469658496e-05,9.527522003955552e-10,1.9084977600777757e-05,5.726216612871475e-06,181.502665024821,0.0,6.488431545289384,175.01423463990736,-1.160375745712372e-06
4.4,0.006,0.801,0.8014766932449839,-19.966062995180636,-19.965552289409572,0.0,0.0,3.042946313697782,2.593149194175259e-05,9.532758109342318e-10,1.994426808125006e-05,5.986270584691617e-06,189.6452322411926,0.0,7.028170156317653,182.6170633071062,-1.222231276187813e-06
4.6,0.007,0.801,0.7929714823762188,-19.964737756967992,-19.96419486475088,0.0,0.0,3.04495049092136,2.714411566564749e-05,1.092408907125675e-09,2.0875007983879768e-05,6.26801527286062e-06,198.52372827800127,0.0,7.588982545810914,190.9347470156128,-1.2834224492053181e-06
4.8,0.006,0.801,0.8016025294432304,-19.963416191841873,-19.96284110572401,0.0,0.0,3.0469542923783304,2.8356739389542398e-05,9.707991520860702e-10,2.1805573380496886e-05,6.55019520989345e-06,207.40143367427285,0.0,8.17140765705618,199.23002737446797,-1.357251306899343e-06
5.0,0.007,0.801,0.7931017012001116,-19.962098284320717,-19.961490882136587,0.0,0.0,3.0489577273175343,2.9569363113437306e-05,1.0977203175266414e-09,2.2735968566263195e-05,6.832296826856606e-06,216.27830260171186,0.0,8.774695824141245,207.50360820427372,-1.426703107654248e-06
5.2,0.007,0.801,0.7931717318693643,-19.960707765800493,-19.960023769495336,0.0,0.0,3.051114865781342,3.0875265585324124e-05,1.1148308049145768e-09,2.373774366885517e-05,7.13640708566406e-06,225.8943021070471,0.0,9.400873622634217,216.49342997708615,-1.4926732490039285e-06
