layer,x_center_um,temperature_C,total_pore_water_kgm3,ice_kgm3,ice_volume_fraction
aGDL,3.1249999999999996,-17.36260445002162,0.0,0.0,0.0
aGDL,9.375,-17.356488038519046,0.0,0.0,0.0
aGDL,15.625,-17.35061909016258,0.0,0.0,0.0
aGDL,21.874999999999996,-17.344997007803755,0.0,0.0,0.0
aGDL,28.125,-17.33962121878878,0.0,0.0,0.0
aGDL,34.375,-17.33449117496167,0.0,0.0,0.0
aGDL,40.62500000000001,-17.329606352670908,0.0,0.0,0.0
aGDL,46.87500000000001,-17.324966252778864,0.0,0.0,0.0
aGDL,53.12500000000001,-17.320570400674143,0.0,0.0,0.0
aGDL,59.375000000000014,-17.316418346286696,0.0,0.0,0.0
aGDL,65.62500000000003,-17.31250966410522,0.0,0.0,0.0
aGDL,71.87500000000003,-17.308843953196913,0.0,0.0,0.0
aGDL,78.12500000000003,-17.30542083722895,0.0,0.0,0.0
aGDL,84.37500000000003,-17.30223996449172,0.0,0.0,0.0
aGDL,90.62500000000003,-17.29930100792322,0.0,0.0,0.0
aGDL,96.87500000000004,-17.296603665134,0.0,0.0,0.0
aGDL,103.12500000000004,-17.29414765843299,0.0,0.0,0.0
aGDL,109.37500000000004,-17.29193273485251,0.0,0.0,0.0
aGDL,115.62500000000004,-17.289958666173135,0.0,0.0,0.0
aGDL,121.87500000000003,-17.288225248946844,0.0,0.0,0.0
aGDL,128.125,-17.286732304518665,0.0,0.0,0.0
aGDL,134.375,-17.285479679045636,0.0,0.0,0.0
aGDL,140.625,-17.284467243512665,0.0,0.0,0.0
aGDL,146.87499999999997,-17.283694893745007,0.0,0.0,0.0
aCL,150.1888888888889,-17.283410845859947,0.0,0.0,0.0
aCL,150.56666666666666,-17.283376045120292,0.0,0.0,0.0
aCL,150.94444444444446,-17.28334219606731,0.0,0.0,0.0
aCL,151.32222222222225,-17.283309298686845,0.0,0.0,0.0
aCL,151.70000000000002,-17.28327735296523,0.0,0.0,0.0
aCL,152.0777777777778,-17.2832463588891,0.0,0.0,0.0
aCL,152.4555555555556,-17.283216316445618,0.0,0.0,0.0
aCL,152.83333333333337,-17.283187225622328,0.0,0.0,0.0
aCL,153.21111111111117,-17.283159086407125,0.0,0.0,0.0
PEM,153.90000000000003,-17.283105011032887,0.0,0.0,0.0
PEM,154.90000000000003,-17.28302883003201,0.0,0.0,0.0
PEM,155.90000000000003,-17.28295743089464,0.0,0.0,0.0
PEM,156.9,-17.28289081338295,0.0,0.0,0.0
PEM,157.9,-17.282828977286556,0.0,0.0,0.0
PEM,158.9,-17.282771922422455,0.0,0.0,0.0
PEM,159.9,-17.282719648635037,0.0,0.0,0.0
PEM,160.9,-17.28267215579598,0.0,0.0,0.0
PEM,161.9,-17.282629443804495,0.0,0.0,0.0
PEM,162.9,-17.28259151258706,0.0,0.0,0.0
PEM,163.9,-17.282558362097546,0.0,0.0,0.0
PEM,164.9,-17.28252999231728,0.0,0.0,0.0
cCL,165.77666666666667,-17.282511685807776,30.474970882535942,21.00070794786132,0.02282685646506665
cCL,166.53,-17.282502727866188,30.327375998475926,20.8929388160783,0.022709716104432932
cCL,167.28333333333333,-17.282497831223765,30.032423712123464,20.677632269217145,0.02247568724914907
cCL,168.03666666666666,-17.282496997957992,29.590267511671648,20.354987697951696,0.022124986628208367
cCL,168.79,-17.282500236968303,29.001088679318393,19.925255159970078,0.021657886043445738
cCL,169.54333333333332,-17.282507564063422,28.265023716896753,19.38866272689885,0.021074633398803097
cCL,170.29666666666665,-17.282519002112565,27.38212046113016,18.74537259023271,0.02037540498938338
cCL,171.04999999999998,-17.282534581261643,26.352504000824112,17.995647308575133,0.01956048620497297
cCL,171.8033333333333,-17.2825543391763,25.176720119001885,17.140193814998597,0.01863064545108543
cCL,172.55666666666664,-17.282578321351764,23.85498735506379,16.179414450289645,0.01758632005466266
cCL,173.30999999999997,-17.28260658153755,22.387521148864256,15.113731705918095,0.016427969245563147
cCL,174.0633333333333,-17.28263918225062,20.774402779306733,13.943457117408162,0.015155931649356698
cCL,174.81666666666663,-17.28267619527074,19.016546903599316,12.66976009358097,0.013771478362588012
cCL,175.56999999999996,-17.282717702102786,17.115168800452953,11.294134475112264,0.012276233125122027
cCL,176.3233333333333,-17.282763794203845,15.073518277688914,9.820134170058694,0.01067405888049858
cGDL,179.82499999999996,-17.282985236593476,9.708580414931127,5.942690019999521,0.006459445673912522
cGDL,186.07499999999996,-17.283635266811416,7.9343209122894,4.690482552275131,0.005098350600299055
cGDL,192.32499999999993,-17.284546426273778,6.295290211183648,3.5607775713157555,0.003870410403604082
cGDL,198.57499999999993,-17.28571888133797,4.895753099648842,2.6598438539457705,0.0028911346238540982
cGDL,204.82499999999993,-17.287151491666634,3.6791430874500595,1.9330712764570566,0.0021011644309315834
cGDL,211.0749999999999,-17.288842950669732,2.5450129943972835,1.2819353948095533,0.001393408037836471
cGDL,217.3249999999999,-17.29079200958583,1.4886450653341075,0.7036176615581932,0.0007648018060415143
cGDL,223.5749999999999,-17.292996882768563,0.5227239914425905,0.21268158191224734,0.00023117563251331234
cGDL,229.82499999999987,-17.295452824115273,0.0008831187290177933,0.0,0.0
cGDL,236.07499999999987,-17.29815287178019,0.0008261540824732573,0.0,0.0
cGDL,242.32499999999985,-17.30109441673332,0.0007691883914058495,0.0,0.0
cGDL,248.5749999999999,-17.304277761122705,0.0007122215581415716,0.0,0.0
cGDL,254.82499999999993,-17.307703231753976,0.0006552534848743462,0.0,0.0
cGDL,261.07499999999993,-17.31137118007419,0.0005982840736556105,0.0,0.0
cGDL,267.32499999999993,-17.31528198215625,0.0005413132263839086,0.0,0.0
cGDL,273.575,-17.319436038683307,0.0004843408447944883,0.0,0.0
cGDL,279.825,-17.323833774934286,0.00042736683044889996,0.0,0.0
cGDL,286.075,-17.328475640770108,0.0003703910847245939,0.0,0.0
cGDL,292.32500000000005,-17.33336211062135,0.00031341350880452007,0.0,0.0
cGDL,298.57500000000005,-17.338493683477736,0.00025643400366672506,0.0,0.0
cGDL,304.82500000000005,-17.343870882878917,0.0001994524700739477,0.0,0.0
cGDL,311.07500000000005,-17.349494256908116,0.00014246880856321056,0.0,0.0
cGDL,317.3250000000001,-17.355364378187602,8.548291943540638e-05,0.0,0.0
cGDL,323.5750000000001,-17.361481843876845,2.8494702744877805e-05,0.0,0.0
