工况,电压MAE/V,电压RMSE/V,电压平均相对误差/%,温度MAE/℃,温度RMSE/℃,温度平均相对误差/%,末时最大冰体积分数,最大孔隙冰饱和度,水量守恒最大误差/kgm^-2,能量守恒最大误差/Jm^-2
-20℃,0.0030376118584057644,0.0040131904689956885,0.4775886387894012,0.007771874779569286,0.009682609667885252,0.04592786970258483,0.00848143082893929,0.020160282455287115,1.3010426069826053e-17,8.271301339846104e-06
-25℃,0.010987484367828641,0.012946994041489626,1.7645682068850481,0.105604745334806,0.1412358885964918,0.5362515285822578,0.025696840926335538,0.061081152665404176,3.903127820947816e-18,8.335482561960816e-06
