layer,x_center_um,temperature_C,total_pore_water_kgm3,ice_kgm3,ice_volume_fraction
cCL,166.53,-12.643485086734131,13.085245041458693,6.402274746228348,0.006958994289378639
cCL,167.28333333333333,-12.643488834829384,12.915640623520318,6.31143487688666,0.006860255300963761
cCL,168.03666666666666,-12.64349654783166,12.662109343334292,6.176086007787943,0.006713136964986895
cCL,168.79,-12.64350823054292,12.325356709612755,5.9969843570750925,0.006518461257690318
cCL,169.54333333333332,-12.643523889830306,11.906583895249712,5.775399099526179,0.006277607716876281
cCL,170.29666666666665,-12.64354353446106,11.407138559939668,5.512762569315888,0.00599213322751727
cCL,171.04999999999998,-12.64356717497651,10.82796778641565,5.210122352823815,0.0056631764704606685
cCL,171.8033333333333,-12.643594823553997,10.170460268825488,4.868984793199753,0.005292374775217123
cCL,172.55666666666664,-12.643626493803538,9.436054217321145,4.490922279660673,0.004881437260500731
cCL,173.30999999999997,-12.643662200544895,8.626457375845874,4.07779355327538,0.0044323842970384565
cCL,174.0633333333333,-12.6437019595636,7.743364448325764,3.631460750139,0.003947239945803261
cCL,174.81666666666663,-12.64374578732037,6.788814960162535,3.1541476678795135,0.003428421378129906
cCL,175.56999999999996,-12.643793700581057,5.7650239394527105,2.648270186110121,0.002878554550119697
cCL,176.3233333333333,-12.643845715819907,4.675252841434238,2.117307805364889,0.002301421527570531
cGDL,179.82499999999996,-12.644086075032305,1.7822215680783238,0.7502912151843202,0.0008155339295481741
cGDL,186.07499999999996,-12.64474788906523,0.8121996695077367,0.32147735964236596,0.0003494319126547456
cGDL,192.32499999999993,-12.645646548044738,0.0013558954737965488,0.0,0.0
cGDL,198.57499999999993,-12.64677878437152,0.0012928420734781157,0.0,0.0
cGDL,204.82499999999993,-12.648143104697454,0.0012297882117451473,0.0,0.0
cGDL,211.0749999999999,-12.649739654229393,0.0011667337871754866,0.0,0.0
cGDL,217.3249999999999,-12.651568601974986,0.0011036786982757155,0.0,0.0
cGDL,223.5749999999999,-12.653630140703797,0.0010406228434702916,0.0,0.0
cGDL,229.82499999999987,-12.655924486907452,0.0009775661210907074,0.0,0.0
cGDL,236.07499999999987,-12.658451880758264,0.000914508429364668,0.0,0.0
cGDL,242.32499999999985,-12.661212586068473,0.0008514496664052884,0.0,0.0
cGDL,248.5749999999999,-12.664206890249659,0.0007883897302003069,0.0,0.0
cGDL,254.82499999999993,-12.667435104273238,0.0007253285186013151,0.0,0.0
cGDL,261.07499999999993,-12.670897562633058,0.0006622659293130036,0.0,0.0
cGDL,267.32499999999993,-12.674594623309815,0.0005992018598824194,0.0,0.0
cGDL,273.575,-12.678526667737799,0.0005361362076882353,0.0,0.0
cGDL,279.825,-12.682694100774427,0.00047306886993002807,0.0,0.0
cGDL,286.075,-12.687097350672957,0.0004099997436175648,0.0,0.0
cGDL,292.32500000000005,-12.691736869058047,0.0003469287255600941,0.0,0.0
cGDL,298.57500000000005,-12.69661313090495,0.000283855712355642,0.0,0.0
cGDL,304.82500000000005,-12.701726634522288,0.00022078060038030858,0.0,0.0
cGDL,311.07500000000005,-12.707077901538355,0.00015770328577756468,0.0,0.0
cGDL,317.3250000000001,-12.712667476891738,9.462366444754583e-05,0.0,0.0
cGDL,323.5750000000001,-12.718495928825234,3.154163203634165e-05,0.0,0.0
