time_s,current_density_Acm2,charge_Ccm2,T_cell_1_C,T_cell_2_C,T_cell_3_C,T_cell_4_C,T_cell_5_C,T_endplate_left_C,T_endplate_right_C,V_cell_1_V,V_cell_2_V,V_cell_3_V,V_cell_4_V,V_cell_5_V,ice_cell_1_max_fraction,ice_cell_2_max_fraction,ice_cell_3_max_fraction,ice_cell_4_max_fraction,ice_cell_5_max_fraction
4.99999999999999,0.2,1.0000000000000007,-8.794421838179971,-8.4106381964977,-8.344038891716536,-8.4106381964977,-8.794421838179971,-9.907927829627909,-9.907927829627965,0.5354401357250359,0.5368525146472537,0.5370352927956099,0.5368525146472537,0.5354401357250359,0.0,0.0,0.0,0.0,0.0
5.09999999999999,0.2,1.0200000000000007,-8.7783011433595,-8.384507041244774,-8.315272360078609,-8.384507041244774,-8.7783011433595,-9.904800747362628,-9.904800747362685,0.5378865942513466,0.539325905178744,0.5395158124698776,0.539325905178744,0.5378865942513466,0.0,0.0,0.0,0.0,0.0
5.1999999999999895,0.2,1.0400000000000007,-8.762348058476334,-8.358560033998003,-8.286661351553676,-8.358560033998003,-8.762348058476334,-9.901638127030822,-9.901638127030878,0.5402887942195834,0.5417549782280684,0.5419520880602456,0.5417549782280684,0.5402887942195834,0.0,0.0,0.0,0.0,0.0
5.299999999999989,0.2,1.0600000000000007,-8.746557846450457,-8.332795100910346,-8.258205234701052,-8.332795100910346,-8.746557846450457,-9.898440528341098,-9.898440528341155,0.5426479141636718,0.5441409057850357,0.544345287707963,0.5441409057850357,0.5426479141636718,0.0,0.0,0.0,0.0,0.0
5.399999999999989,0.2,1.0800000000000007,-8.730925936924166,-8.307210189331158,-8.229903374689343,-8.307210189331158,-8.730925936924166,-9.89520849653627,-9.89520849653627,0.5449650921741336,0.5464848197775838,0.5466965395652897,0.5464848197775838,0.5449650921741336,0.0,0.0,0.0,0.0,0.0
5.4999999999999885,0.2,1.1000000000000008,-8.715447919817962,-8.281803268165447,-8.201755132745745,-8.281803268165447,-8.715447919817962,-9.891942562886015,-9.891942562886015,0.5472414275776825,0.5487878137322716,0.5490069334578787,0.5487878137322716,0.5472414275776825,0.0,0.0,0.0,0.0,0.0
5.599999999999988,0.2,1.1200000000000008,-8.70011953915548,-8.256572328206289,-8.17375986569607,-8.256572328206289,-8.70011953915548,-9.888643245161177,-9.88864324516112,0.5494779825353593,0.5510509443542387,0.5512775224663338,0.5510509443542387,0.5494779825353593,0.0,0.0,0.0,0.0,0.0
5.699999999999988,0.2,1.1400000000000008,-8.68493668713802,-8.231515382399891,-8.145916925554957,-8.231515382399891,-8.68493668713802,-9.885311048089306,-9.885311048089193,0.5516757835637505,0.5532752330311954,0.5535093244315179,0.5532752330311954,0.5516757835637505,0.0,0.0,0.0,0.0,0.0
5.799999999999987,0.2,1.1600000000000008,-8.669895398471397,-8.206630466064098,-8.118225659198345,-8.206630466064098,-8.669895398471397,-9.881946463793554,-9.881946463793497,0.5538358229834587,0.5554616672655847,0.5557033233876929,0.5554616672655847,0.5538358229834587,0.0,0.0,0.0,0.0,0.0
5.899999999999987,0.2,1.1800000000000008,-8.654991844911251,-8.18191563707552,-8.090685408083232,-8.18191563707552,-8.654991844911251,-9.878549972214842,-9.878549972214728,0.5559590602988609,0.5576112020387846,0.5578604709275272,0.5576112020387846,0.5559590602988609,0.0,0.0,0.0,0.0,0.0
5.999999999999987,0.2,1.2000000000000008,-8.640222330051756,-8.157368976004534,-8.063295508024453,-8.157368976004534,-8.640222330051756,-9.875122041517614,-9.875122041517443,0.5580464235127857,0.5597247611111028,0.5599816875026198,0.5597247611111028,0.5580464235127857,0.0,0.0,0.0,0.0,0.0
6.099999999999986,0.2,1.2200000000000009,-8.625583284316463,-8.132988586221984,-8.036055289022102,-8.132988586221984,-8.625583284316463,-9.871663128480805,-9.87166312848069,0.5600988103796769,0.5618032382609592,0.5620678636630211,0.5618032382609592,0.5600988103796769,0.0,0.0,0.0,0.0,0.0
6.199999999999986,0.2,1.2400000000000009,-8.611071260144968,-8.10877259396949,-8.008964075135111,-8.10877259396949,-8.611071260144968,-9.868173678874314,-9.868173678874143,0.5621170896005404,0.5638474984665249,0.5641198612390175,0.5638474984665249,0.5621170896005404,0.0,0.0,0.0,0.0,0.0
6.299999999999986,0.2,1.260000000000001,-8.596682927389793,-8.084719148393674,-7.982021184391215,-8.084719148393674,-8.596682927389793,-9.864654127820643,-9.864654127820529,0.5641021019626828,0.565858379032889,0.5661385144682629,0.565858379032889,0.5641021019626828,0.0,0.0,0.0,0.0,0.0
6.399999999999985,0.2,1.280000000000001,-8.582415068898797,-8.06082642155917,-7.955225928741186,-8.06082642155917,-8.582415068898797,-9.861104900143971,-9.861104900143857,0.5660546614271975,0.567836690667571,0.568124631071105,0.567836690667571,0.5660546614271975,0.0,0.0,0.0,0.0,0.0
