time_s,current_A_cm2,charge_C_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,left_plate_C,right_plate_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,mode1,mode2,mode3,mode4,mode5
0.0,0.0,0.0,-20.3257595792451,-20.251053750057793,-20.22610936587492,-20.251053750057793,-20.3257595792451,-20.423877734143076,-20.423877734143076,1.259026761651112,1.2589607500322433,1.2589387086574335,1.2589607500322433,1.259026761651112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
0.25,0.00125,0.00015625,-20.32737136590663,-20.252676419674913,-20.227736550508354,-20.252676419675282,-20.32737136590339,-20.42561647053529,-20.42561647053529,0.8765194061282653,0.876754024213309,0.8768316288349538,0.8767540242133081,0.8765194061282752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
0.49999999999999994,0.0024999999999999996,0.000625,-20.328668569605924,-20.25397044064036,-20.22903478144019,-20.253970440640785,-20.32866856960274,-20.427352581640093,-20.427352581640122,0.8439608167563741,0.8441891380568337,0.8442638924186492,0.844189138056832,0.8439608167563839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
0.75,0.00375,0.0014062499999999997,-20.329644900174486,-20.254916839604164,-20.229984384509038,-20.254916839606835,-20.329644900171076,-20.429083865186442,-20.429083865186357,0.823953288141552,0.8241790970224403,0.8242522420153978,0.8241790970224327,0.8239532881415617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
1.0,0.005,0.002499999999999999,-20.33030164834196,-20.255505121803566,-20.23057382908499,-20.255505121804305,-20.330301648339287,-20.43080812908093,-20.43080812908076,0.8090961933224435,0.8093211175580902,0.8093931663509274,0.8093211175580879,0.8090961933224512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
1.25,0.00625,0.003906249999999998,-20.330642311942,-20.25572797787737,-20.230794500124006,-20.255727977877598,-20.330642311937652,-20.432523216378797,-20.432523216378627,0.7970716822725146,0.7972966920384295,0.7973679323217747,0.7972966920384292,0.7970716822725272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
1.5,0.0075,0.005624999999999996,-20.330671264521186,-20.255579931549676,-20.230639405162634,-20.255579931549676,-20.330671264517974,-20.434227014072718,-20.43422701407249,0.7868484564877557,0.7870742418073315,0.7871448632867759,0.7870742418073312,0.7868484564877647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
1.75,0.00875,0.007656249999999995,-20.33039321393474,-20.25505674691243,-20.23010263365444,-20.255056746910043,-20.330393213929938,-20.43591745636965,-20.435917456369452,0.7778773224849734,0.7781044332177439,0.7781745755875877,0.7781044332177505,0.7778773224849873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
2.0,0.01,0.009999999999999993,-20.329812940834472,-20.254155105505532,-20.22917907897397,-20.254155105502775,-20.329812940829754,-20.437592525485798,-20.43759252548554,0.7698312439524002,0.7700601532098156,0.7701299283591366,0.7700601532098234,0.7698312439524138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
2.249999999999999,0.011249999999999996,0.012656249999999992,-20.328935162165465,-20.252872406337218,-20.22786427671258,-20.252872406332187,-20.32893516215833,-20.439250251189122,-20.439250251188895,0.7624999426168897,0.7627310792534931,0.7628005829746947,0.7627310792535068,0.7624999426169097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
2.4999999999999982,0.012499999999999992,0.015624999999999991,-20.327764458314846,-20.25120663100472,-20.226154302206282,-20.251206631000656,-20.32776445830953,-20.44088870968497,-20.440888709684742,0.7557404147439529,0.7559741814250174,0.7560435001589529,0.7559741814250285,0.7557404147439674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
2.7499999999999973,0.013749999999999986,0.018906249999999986,-20.32630523545305,-20.249156247165047,-20.224045701108878,-20.249156247162546,-20.326305235448388,-20.44250602216036,-20.44250602216016,0.7494511562948751,0.7496879401254147,0.7497571550968715,0.7496879401254214,0.7494511562948887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
2.9999999999999964,0.014999999999999982,0.022499999999999982,-20.324561708391855,-20.246720136360977,-20.221535439738176,-20.24672013635592,-20.324561708388188,-20.44410035316858,-20.444100353168437,0.7435576489363039,0.7437978279599484,0.743867017826607,0.7437978279599619,0.7435576489363137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
3.2499999999999956,0.01624999999999998,0.02640624999999998,-20.32253789575506,-20.243897538299564,-20.21862086786038,-20.243897538294334,-20.322537895748383,-20.445669908961634,-20.44566990896149,0.7380036740416486,0.7382476213142165,0.7383168639143438,0.7382476213142313,0.7380036740416669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
3.4999999999999947,0.017499999999999974,0.03062499999999997,-20.320237622684118,-20.240688006753516,-20.21529968962861,-20.240688006746296,-20.32023762267579,-20.447212935834017,-20.447212935833903,0.7327458535419584,0.7329939397178431,0.7330633132437339,0.7329939397178626,0.7327458535419811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
3.749999999999994,0.018749999999999968,0.035156249999999965,-20.31766452811192,-20.23709137397708,-20.21156994003414,-20.237091373972447,-20.317664528104785,-20.448727718518086,-20.448727718517915,0.7277500776951868,0.7280026726703931,0.7280722564610622,0.7280026726704057,0.7277500776952065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
3.999999999999993,0.019999999999999966,0.03999999999999996,-20.314822074696593,-20.23310772155574,-20.207429965242284,-20.23310772155247,-20.31482207468926,-20.450212578653122,-20.45021257865278,0.7229890872258774,0.723246561166469,0.723316436239595,0.7232465611664777,0.7229890872258974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
4.249999999999992,0.02124999999999996,0.04515624999999995,-20.311713560270533,-20.22873735620658,-20.2028784056796,-20.228737356201208,-20.311713560265332,-20.4516658733412,-20.45166587334083,0.7184407890636141,0.718703513025589,0.718773762426289,0.7187035130256036,0.718440789063628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
4.499999999999991,0.022499999999999958,0.05062499999999994,-20.308342129951967,-20.223980789467305,-20.19791418117333,-20.223980789463866,-20.308342129947647,-20.453085993796947,-20.453085993796577,0.7140870536892737,0.7143553999624934,0.714426108980723,0.7143553999625027,0.7140870536892854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
