time_s,current_A_cm2,charge_C_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,left_plate_C,right_plate_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,mode1,mode2,mode3,mode4,mode5
0.0,0.0,0.0,-30.00000000000017,-30.00000000000017,-30.00000000000017,-30.00000000000017,-30.000000000000085,-30.0,-30.0,1.26757512097522,1.26757512097522,1.26757512097522,1.26757512097522,1.26757512097522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
0.24999999999999997,0.0012499999999999998,0.00015625000000000003,-29.8041918668292,-29.8685431390372,-29.896736618574096,-29.868542988647988,-29.804184054542674,-29.99924421509698,-29.999244184832094,0.8470227082714014,0.8468245247054177,0.8467367455119911,0.8468245251736477,0.8470227325944699,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
0.5,0.0025,0.0006249999999999998,-29.61858851476333,-29.735671200590673,-29.791157108268436,-29.735670654084117,-29.61857348031242,-29.997171961771187,-29.9971718494304,0.816095384110529,0.8157483176965378,0.8155817816296851,0.815748319336822,0.8160954292340937,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
0.75,0.00375,0.001406249999999999,-29.442288473659943,-29.601716631244017,-29.683317938928838,-29.60171547884036,-29.442266751860615,-29.99386017378862,-29.993859931822357,0.7971972947004374,0.7967352749513035,0.7964954546757484,0.7967352783381031,0.797197358536246,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
1.0,0.005,0.0024999999999999983,-29.274480873432054,-29.466969955623625,-29.573300376523605,-29.4669680192587,-29.27445294938485,-29.98937932068523,-29.98937890541194,0.7832202830247952,0.7826714107754632,0.7823634016385316,0.7826714163844756,0.7832203639067011,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
1.2499999999999991,0.006249999999999996,0.003906249999999998,-29.11443194926676,-29.331681242951333,-29.461201063859022,-29.331678372497123,-29.114398263348647,-29.983794026768834,-29.983793398020993,0.7719406287623676,0.7713289834127949,0.7709578312158553,0.7713289916381734,0.7719407252822489,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
1.4999999999999982,0.007499999999999991,0.0056249999999999955,-28.961476369568175,-29.196064568421207,-29.347127160236482,-29.19606063832012,-28.96143732191524,-29.977163614970777,-29.977162735775863,0.762370354304478,0.7617168723622564,0.7612876297166028,0.7617168835292139,0.7623704652419714,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
1.7499999999999973,0.008749999999999987,0.007656249999999993,-28.815010098725026,-29.06030246161194,-29.23119281860167,-29.060297367913364,-28.814966053241676,-29.969542592913257,-29.969541429206487,0.7539842800662433,0.7533073096937637,0.752825023975891,0.7533073240685215,0.7539844043489029,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
1.9999999999999964,0.009999999999999983,0.00999999999999999,-28.674484217143373,-28.92454996511205,-29.11351643913798,-28.924543622803554,-28.67443550509944,-29.960981089693092,-29.960979610058672,0.746470336200276,0.7457860352401671,0.7452557175476524,0.7457860530382835,0.7464704728772596,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
2.2499999999999956,0.011249999999999979,0.012656249999999985,-28.539399473970263,-28.788938244918825,-28.994218481432114,-28.788930585588645,-28.539346397229963,-29.951525249441545,-29.951523424879213,0.739628359454473,0.7389510023040972,0.7383775933634645,0.7389510236974077,0.739628507677486,0.0,0.0,0.0,0.0,0.0,0.49466,0.32,0.25,0.32,0.49468,hold,hold,hold,hold,hold
