time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda_mean,plate_anode_C,plate_cathode_C,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,mass_balance_error_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
2.0,0.006600660066006601,0.8,0.7923030721533306,-24.982691313305594,-24.97627736364879,0.0,0.0,3.0000127739393156,-24.981579653817477,-24.98157569145127,1.2498736529609845e-05,4.584659036433281e-09,5.93221741802992e-09,1.248821965315488e-05,5.014435047745458e-19,92.26244643669156,0.0,1.868318530446527,90.39412800026994,-9.402491230048327e-08
2.2,0.006930693069306931,0.8,0.7896547544893516,-24.98128060254649,-24.974753411444027,0.0,0.0,3.000014112060841,-24.980195156333707,-24.980191018668933,1.3760924208708377e-05,4.754061341937929e-09,6.5536410543201584e-09,1.3749616506311347e-05,7.724940478959219e-19,101.58609939504136,0.0,2.1762844427076975,99.40981503428274,-8.19490821868385e-08
2.4,0.006600660066006601,0.8,0.792311233565808,-24.97987381754257,-24.97355745904406,0.0,0.0,3.0000153899335604,-24.97881061651239,-24.978806394030414,1.5023111887806906e-05,4.555592156079857e-09,7.147085145280466e-09,1.5011409210504948e-05,5.98005260761536e-19,110.90969172912995,0.0,2.5071340662946113,108.402557756687,-9.385166777065024e-08
2.6,0.006600660066006601,0.8,0.7923151127265994,-24.97850927496316,-24.972264730556873,0.0,0.0,3.000016695493152,-24.97746850493712,-24.977464190788908,1.625451450156157e-05,4.549926802189906e-09,7.753387019655139e-09,1.624221118773952e-05,2.0667603913004928e-19,119.98807142571152,0.0,2.8590900056096418,117.12898150211775,-8.201587320399994e-08
2.8,0.006600660066006601,0.8,0.7923191302746349,-24.977148517484267,-24.970926440029018,0.0,0.0,3.000017942083601,-24.976130341299722,-24.976125933051094,1.7485917115316232e-05,4.526523633708975e-09,8.332303624196749e-09,1.747305828805822e-05,1.0503208545953324e-19,129.06639981481,0.0,3.2330146719672936,125.83338523681655,-9.397383848863683e-08
3.0,0.007260726072607262,0.8,0.78711608774247,-24.97571482158716,-24.969043772012327,0.0,0.0,3.000019312597256,-24.97472525974399,-24.974720628765965,1.8778889859758632e-05,4.957919957542836e-09,8.968770165559622e-09,1.8764963169634827e-05,7.013432803265607e-19,138.63568718305638,0.0,3.628270663542253,135.00741660184647,-8.23323489385075e-08
3.2,0.006930693069306931,0.8,0.7896757689335228,-24.974246642735693,-24.967750960571948,0.0,0.0,3.0000207160761665,-24.97327901584697,-24.97327431315668,2.01026476695449e-05,4.800728183913664e-09,9.620545771702252e-09,2.008822639558831e-05,9.723938234479368e-19,148.45078052171266,0.0,4.046681327546458,144.40409926457366,-7.040745231279288e-08
3.4,0.006600660066006601,0.8,0.7923319497568582,-24.972859460034414,-24.96665644505913,0.0,0.0,3.0000219938597796,-24.971910495614935,-24.971905788427534,2.1364835348643428e-05,4.5553757879913616e-09,1.0213948481484561e-08,2.135006602437303e-05,9.24959978401696e-19,157.77409110263173,0.0,4.488038020333624,153.2860531647333,-8.24351786832267e-08
3.6,0.006930693069306931,0.8,0.7896836977465689,-24.97147613020391,-24.96510752110933,0.0,0.0,3.0000233318097083,-24.970550333871955,-24.97054551694592,2.262702302774196e-05,4.753743135535227e-09,1.08352924282646e-08,2.261143399217756e-05,5.996993266560446e-19,167.0973522692022,0.0,4.950479346586235,162.14687299305174,-7.0435788757095e-08
3.8,0.006930693069306931,0.8,0.7896880165583505,-24.970058275261835,-24.96366870853933,0.0,0.0,3.000024640581799,-24.96915436495712,-24.969149467056923,2.3919995772184357e-05,4.752618043059698e-09,1.144308618738002e-08,2.390380006795343e-05,4.845028458294598e-19,176.66606999227602,0.0,5.435674460764743,171.23039561400432,-8.2493045283627e-08
4.0,0.006600660066006601,0.8,0.792344281690375,-24.968682752618605,-24.962548887453266,0.0,0.0,3.0000259787407844,-24.967796321559263,-24.967791430948864,2.518218345128289e-05,4.5730667108469596e-09,1.2064527220344637e-08,2.5165545857351226e-05,4.70950318673391e-19,185.9892147706724,0.0,5.942379144863912,180.04683569645942,-7.065094109748316e-08
