time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,Tplate_left_C,Tplate_right_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1_fraction,ice2_fraction,ice3_fraction,ice4_fraction,ice5_fraction
0.0,0.0,0.0,-30.00000000000017,-30.00000000000017,-30.00000000000017,-30.00000000000017,-30.000000000000085,-30.0,-30.0,1.26757512097522,1.26757512097522,1.26757512097522,1.26757512097522,1.26757512097522,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,-29.224734025923652,-29.185298889652955,-29.18407477333696,-29.185298889652955,-29.224734025923652,-29.993476832124458,-29.99347683212443,1.266890079893965,1.2668552341903052,1.2668541525357597,1.2668552341903052,1.266890079893965,0.0,0.0,0.0,0.0,0.0
0.9999999999999999,0.0,0.0,-28.509551414383253,-28.375573292247395,-28.36867211470414,-28.375573292248134,-28.509551414383026,-29.976827223319646,-29.97682722331959,1.2662581297170101,1.266139743871737,1.2661336458482404,1.2661397438717377,1.26625812971701,0.0,0.0,0.0,0.0,0.0
1.5000000000000002,0.0,0.0,-27.8453003410784,-27.5737963736006,-27.55462326416915,-27.573796373600004,-27.845300341077035,-29.9509500197276,-29.950950019727514,1.265671183702742,1.265431277170448,1.2654143354136123,1.2654312771704475,1.2656711837027408,0.0,0.0,0.0,0.0,0.0
2.0000000000000004,0.0,0.0,-27.224395801063395,-26.782080662038794,-26.74296856024276,-26.782080662038595,-27.22439580106223,-29.916617886126232,-29.916617886126062,1.2651225395835994,1.2647317007602472,1.2646971404965432,1.264731700760247,1.2651225395835983,0.0,0.0,0.0,0.0,0.0
2.500000000000001,0.0,0.0,-26.64053348298316,-26.001890112679348,-25.93483492915456,-26.001890112679348,-26.64053348298245,-29.874498354425356,-29.87449835442527,1.264606626739419,1.264042308222215,1.2639830568724053,1.264042308222215,1.2646066267394183,0.0,0.0,0.0,0.0,0.0
3.0000000000000013,0.0,0.0,-26.088458802631806,-25.234201569605005,-25.13135299561941,-25.234201569605005,-26.088458802633,-29.825171082580653,-29.825171082580596,1.2641188021107006,1.263363962716027,1.263273083584626,1.263363962716027,1.2641188021107017,0.0,0.0,0.0,0.0,0.0
3.5000000000000018,0.0,0.0,-25.56377994304313,-24.47962754827884,-24.33360298756267,-24.479627548278955,-25.563779943044807,-29.769142046060892,-29.769142046060864,1.2636551849969577,1.26269720547304,1.2625681751449878,1.2626972054730403,1.263655184996959,0.0,0.0,0.0,0.0,0.0
4.000000000000002,0.0,0.0,-25.062816093754606,-23.73850947094087,-23.54258135539959,-23.73850947094087,-25.06281609375418,-29.70685523942396,-29.70685523942396,1.263212522957784,1.2620423381810217,1.2618692120377277,1.2620423381810215,1.2632125229577837,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,-24.582473919019293,-23.010988348161817,-22.759182103269723,-23.010988348162783,-24.582473919020686,-29.63870235114254,-29.63870235114254,1.262788082657608,1.2613994854398336,1.2611769842234308,1.2613994854398345,1.2627880826576092,0.0,0.0,0.0,0.0,0.0
4.999999999999998,0.0,0.0,-24.12014672607728,-22.297058259027466,-21.984188395525933,-22.297058259028063,-24.12014672607947,-29.56503078407664,-29.565030784076697,1.2623795607686858,1.2607686420176338,1.260492183722349,1.2607686420176343,1.2623795607686876,0.0,0.0,0.0,0.0,0.0
5.4999999999999964,0.0,0.0,-23.67363193747167,-21.596606724683426,-21.21827117957585,-21.59660672468317,-23.673631937471583,-29.486150321844264,-29.48615032184435,1.2619850110479305,1.2601497085257753,1.259815403397517,1.2601497085257751,1.2619850110479305,0.0,0.0,0.0,0.0,0.0
5.999999999999995,0.0,0.0,-23.24106336355851,-20.90944510602722,-20.461992449261146,-20.909445106024975,-23.241063363558766,-29.40233868384567,-29.40233868384584,1.2616027844914977,1.259542518278838,1.2591471398383398,1.259542518278836,1.261602784491498,0.0,0.0,0.0,0.0,0.0
6.499999999999993,0.0,0.0,-22.82085547535806,-20.235331417857225,-19.715811432946538,-20.235331417855008,-22.82085547535914,-29.313846165755763,-29.313846165755905,1.261231480093123,1.2589468574536828,1.2584877988285175,1.2589468574536808,1.261231480093124,0.0,0.0,0.0,0.0,0.0
6.999999999999991,0.0,0.0,-22.41165743450435,-19.573987386201196,-18.98009248157092,-19.573987386198752,-22.41165743450486,-29.220899525495355,-29.220899525495554,1.260869904224031,1.2583624801616609,1.2578377023160903,1.2583624801616589,1.2608699042240317,0.0,0.0,0.0,0.0,0.0
7.499999999999989,0.0,0.0,-22.012315078303146,-18.925111142603413,-18.2551137956672,-18.925111142600173,-22.012315078304,-29.123705245133806,-29.12370524513406,1.2605170370421468,1.2577891196655488,1.2571970961248147,1.2577891196655462,1.2605170370421475,0.0,0.0,0.0,0.0,0.0
7.999999999999988,0.0,0.0,-21.621839408372722,-18.2883866178625,-17.541076398190853,-18.28838661785946,-21.621839408373916,-29.022452275363122,-29.022452275363406,1.2601720046480036,1.2572264966800502,1.2565661578827398,1.2572264966800475,1.260172004648005,0.0,0.0,0.0,0.0,0.0
8.499999999999986,0.0,0.0,-21.23938041040236,-17.663490444368506,-16.83811295580881,-17.6634904443668,-21.239380410402504,-28.917314349955973,-28.917314349956172,1.2598340559513417,1.2566743254708432,1.2559450048168823,1.2566743254708417,1.259834055951342,0.0,0.0,0.0,0.0,0.0
8.999999999999984,0.0,0.0,-20.864205255388015,-17.050096982528032,-16.146296193239948,-17.050096982526554,-20.864205255388754,-28.808451942046446,-28.808451942046588,1.2595025434092655,1.2561323182960349,1.2553337011883112,1.2561323182960336,1.2595025434092662,0.0,0.0,0.0,0.0,0.0
9.499999999999982,0.0,0.0,-20.495680111055577,-16.44788193887632,-15.46564674706309,-16.44788193887598,-20.49568011105626,-28.696013921424992,-28.696013921425106,1.2591769069544423,1.2556001886031989,1.2547322652319342,1.2556001886031982,1.259176906954443,0.0,0.0,0.0,0.0,0.0
9.99999999999998,0.0,0.0,-20.133254935243656,-15.85652493059149,-14.796140377370762,-15.85652493059115,-20.133254935245503,-28.580138961737248,-28.58013896173742,1.2588566605582192,1.255077653295434,1.254140675528868,1.255077653295434,1.2588566605582208,0.0,0.0,0.0,0.0,0.0
10.499999999999979,0.0,0.0,-19.77645073824081,-15.275711265028008,-14.137714505669578,-15.275711265028235,-19.776450738243113,-28.460956738068546,-28.460956738068745,1.2585413809753603,1.2545644343037976,1.2535588767834576,1.2545644343037978,1.2585413809753627,0.0,0.0,0.0,0.0,0.0
10.999999999999977,0.0,0.0,-19.424848893943874,-14.705133137308678,-13.490274081294842,-14.70513313730902,-19.424848893947228,-28.338588948506214,-28.338588948506498,1.258230698299166,1.2540602596455208,1.2529867850069671,1.254060259645521,1.2582306982991687,0.0,0.0,0.0,0.0,0.0
11.499999999999975,0.0,0.0,-19.07808215493003,-14.144490399086578,-12.853696800766443,-14.144490399088056,-19.078082154931565,-28.213150187619817,-28.213150187620187,1.2579242880222021,1.2535648641033041,1.252424292129506,1.2535648641033055,1.2579242880222035,0.0,0.0,0.0,0.0,0.0
11.999999999999973,0.0,0.0,-18.735827087509392,-13.593491013663709,-12.227837718234127,-13.593491013665584,-18.735827087510245,-28.084748695145237,-28.084748695145606,1.2576218643517572,1.253077989627469,1.2518712700739174,1.2530779896274706,1.2576218643517583,0.0,0.0,0.0,0.0,0.0
12.499999999999972,0.0,0.0,-18.397797692500745,-13.051851283836015,-11.612533292828289,-13.051851283838573,-18.397797692501427,-27.95348699931847,-27.953486999318898,1.2573231745730284,1.2525993855372868,1.2513275743321,1.252599385537289,1.2573231745730291,0.0,0.0,0.0,0.0,0.0
12.99999999999997,0.0,0.0,-18.063740017907804,-12.519295917006446,-11.00760492227215,-12.51929591701014,-18.0637400179088,-27.819462471130635,-27.819462471131118,1.2570279942887688,1.2521288085785136,1.2507930470873803,1.2521288085785167,1.2570279942887697,0.0,0.0,0.0,0.0,0.0
13.499999999999968,0.0,0.0,-17.733427602861468,-11.995557975619136,-10.412862012692699,-11.995557975621807,-17.733427602861752,-27.682767803140678,-27.68276780314116,1.2567361233934606,1.2516660228795926,1.2502675199270628,1.251666022879595,1.2567361233934609,0.0,0.0,0.0,0.0,0.0
13.999999999999966,0.0,0.0,-17.40665761932115,-11.480378748449652,-9.828104633309238,-11.480378748453234,-17.40665761932135,-27.543491424297002,-27.543491424297457,1.2564473826640445,1.2512107998379247,1.2497508161881654,1.2512107998379278,1.2564473826640448,0.0,0.0,0.0,0.0,0.0
