strategy,q1,q2,q3,q4,q5,heater_duration_s,E1_J,E2_J,E3_J,E4_J,E5_J,total_aux_J,startup_s,max_ice_fraction,min_voltage_V,success
pure_preheat,1.0,1.0,1.0,1.0,1.0,46.499999999999496,1162.4999999999875,1162.4999999999875,1162.4999999999875,1162.4999999999875,1162.4999999999875,5812.5,46.499999999999496,0.0,0.400168082672476,True
cooperative,0.5,0.32,0.25,0.32,0.5,4.1,51.24999999999999,32.8,25.624999999999996,32.8,51.24999999999999,193.7250000000002,272.80000000002775,0.417252659713731,0.4411870522386809,True
